Species;Isolate;Substrate;Dish;Radius;MeasureRadius_7D;MeasureRadius_1D
C_karstii;C1;PDA;D1;R1;3;0.428571429
C_karstii;C1;PDA;D1;R2;3;0.428571429
C_karstii;C1;PDA;D1;R3;3.1;0.442857143
C_karstii;C1;PDA;D1;R4;3.1;0.442857143
C_karstii;C1;PDA;D2;R1;3.1;0.442857143
C_karstii;C1;PDA;D2;R2;3.1;0.442857143
C_karstii;C1;PDA;D2;R3;3.1;0.442857143
C_karstii;C1;PDA;D2;R4;3.1;0.442857143
C_karstii;C1;PDA;D3;R1;3.2;0.457142857
C_karstii;C1;PDA;D3;R2;3.2;0.457142857
C_karstii;C1;PDA;D3;R3;3.2;0.457142857
C_karstii;C1;PDA;D3;R4;3.2;0.457142857
C_karstii;C1;PDA;D4;R1;3.2;0.457142857
C_karstii;C1;PDA;D4;R2;3.2;0.457142857
C_karstii;C1;PDA;D4;R3;3.2;0.457142857
C_karstii;C1;PDA;D4;R4;3.2;0.457142857
C_karstii;C1;SNA;D1;R1;2.9;0.414285714
C_karstii;C1;SNA;D1;R2;3.1;0.442857143
C_karstii;C1;SNA;D1;R3;3.3;0.471428571
C_karstii;C1;SNA;D1;R4;3;0.428571429
C_karstii;C1;SNA;D2;R1;3.4;0.485714286
C_karstii;C1;SNA;D2;R2;3.2;0.457142857
C_karstii;C1;SNA;D2;R3;3.2;0.457142857
C_karstii;C1;SNA;D2;R4;3;0.428571429
C_karstii;C1;SNA;D3;R1;3.3;0.471428571
C_karstii;C1;SNA;D3;R2;3.1;0.442857143
C_karstii;C1;SNA;D3;R3;3.2;0.457142857
C_karstii;C1;SNA;D3;R4;3.1;0.442857143
C_karstii;C1;SNA;D4;R1;3.1;0.442857143
C_karstii;C1;SNA;D4;R2;3.1;0.442857143
C_karstii;C1;SNA;D4;R3;3.1;0.442857143
C_karstii;C1;SNA;D4;R4;3.1;0.442857143
C_karstii;C1;OA;D1;R1;3.3;0.471428571
C_karstii;C1;OA;D1;R2;3.3;0.471428571
C_karstii;C1;OA;D1;R3;3.2;0.457142857
C_karstii;C1;OA;D1;R4;3.5;0.5
C_karstii;C1;OA;D2;R1;3.5;0.5
C_karstii;C1;OA;D2;R2;3.3;0.471428571
C_karstii;C1;OA;D2;R3;3.3;0.471428571
C_karstii;C1;OA;D2;R4;3.5;0.5
C_karstii;C1;OA;D3;R1;3.5;0.5
C_karstii;C1;OA;D3;R2;3.4;0.485714286
C_karstii;C1;OA;D3;R3;3.4;0.485714286
C_karstii;C1;OA;D3;R4;3.3;0.471428571
C_karstii;C1;OA;D4;R1;3.3;0.471428571
C_karstii;C1;OA;D4;R2;3.3;0.471428571
C_karstii;C1;OA;D4;R3;3.4;0.485714286
C_karstii;C1;OA;D4;R4;3.3;0.471428571
C_cattleyicola;C2;PDA;D1;R1;3;0.428571429
C_cattleyicola;C2;PDA;D1;R2;3.1;0.442857143
C_cattleyicola;C2;PDA;D1;R3;3;0.428571429
C_cattleyicola;C2;PDA;D1;R4;3.1;0.442857143
C_cattleyicola;C2;PDA;D2;R1;3.1;0.442857143
C_cattleyicola;C2;PDA;D2;R2;3.1;0.442857143
C_cattleyicola;C2;PDA;D2;R3;3;0.428571429
C_cattleyicola;C2;PDA;D2;R4;3.1;0.442857143
C_cattleyicola;C2;PDA;D3;R1;3.2;0.457142857
C_cattleyicola;C2;PDA;D3;R2;3.2;0.457142857
C_cattleyicola;C2;PDA;D3;R3;3.1;0.442857143
C_cattleyicola;C2;PDA;D3;R4;3.1;0.442857143
C_cattleyicola;C2;PDA;D4;R1;3.2;0.457142857
C_cattleyicola;C2;PDA;D4;R2;3.2;0.457142857
C_cattleyicola;C2;PDA;D4;R3;3.3;0.471428571
C_cattleyicola;C2;PDA;D4;R4;3.2;0.457142857
C_cattleyicola;C2;SNA;D1;R1;3.7;0.528571429
C_cattleyicola;C2;SNA;D1;R2;4;0.571428571
C_cattleyicola;C2;SNA;D1;R3;3.9;0.557142857
C_cattleyicola;C2;SNA;D1;R4;3.8;0.542857143
C_cattleyicola;C2;SNA;D2;R1;3.8;0.542857143
C_cattleyicola;C2;SNA;D2;R2;4;0.571428571
C_cattleyicola;C2;SNA;D2;R3;3.9;0.557142857
C_cattleyicola;C2;SNA;D2;R4;3.8;0.542857143
C_cattleyicola;C2;SNA;D3;R1;3.8;0.542857143
C_cattleyicola;C2;SNA;D3;R2;3.9;0.557142857
C_cattleyicola;C2;SNA;D3;R3;3.8;0.542857143
C_cattleyicola;C2;SNA;D3;R4;3.8;0.542857143
C_cattleyicola;C2;SNA;D4;R1;3.8;0.542857143
C_cattleyicola;C2;SNA;D4;R2;3.9;0.557142857
C_cattleyicola;C2;SNA;D4;R3;3.8;0.542857143
C_cattleyicola;C2;SNA;D4;R4;3.9;0.557142857
C_cattleyicola;C2;OA;D1;R1;4.3;0.614285714
C_cattleyicola;C2;OA;D1;R2;4.2;0.6
C_cattleyicola;C2;OA;D1;R3;4.3;0.614285714
C_cattleyicola;C2;OA;D1;R4;4.3;0.614285714
C_cattleyicola;C2;OA;D2;R1;4.3;0.614285714
C_cattleyicola;C2;OA;D2;R2;4.2;0.6
C_cattleyicola;C2;OA;D2;R3;4.2;0.6
C_cattleyicola;C2;OA;D2;R4;4.2;0.6
C_cattleyicola;C2;OA;D3;R1;4.4;0.628571429
C_cattleyicola;C2;OA;D3;R2;4.3;0.614285714
C_cattleyicola;C2;OA;D3;R3;4.3;0.614285714
C_cattleyicola;C2;OA;D3;R4;4.3;0.614285714
C_cattleyicola;C2;OA;D4;R1;4.2;0.6
C_cattleyicola;C2;OA;D4;R2;4.2;0.6
C_cattleyicola;C2;OA;D4;R3;4.3;0.614285714
C_cattleyicola;C2;OA;D4;R4;4.2;0.6
C_cattleyicola;C3;PDA;D1;R1;4.3;0.614285714
C_cattleyicola;C3;PDA;D1;R2;4.3;0.614285714
C_cattleyicola;C3;PDA;D1;R3;4.3;0.614285714
C_cattleyicola;C3;PDA;D1;R4;4.2;0.6
C_cattleyicola;C3;PDA;D2;R1;4.3;0.614285714
C_cattleyicola;C3;PDA;D2;R2;4.3;0.614285714
C_cattleyicola;C3;PDA;D2;R3;4.3;0.614285714
C_cattleyicola;C3;PDA;D2;R4;4.2;0.6
C_cattleyicola;C3;PDA;D3;R1;4.3;0.614285714
C_cattleyicola;C3;PDA;D3;R2;4.3;0.614285714
C_cattleyicola;C3;PDA;D3;R3;4.3;0.614285714
C_cattleyicola;C3;PDA;D3;R4;4.3;0.614285714
C_cattleyicola;C3;PDA;D4;R1;4.3;0.614285714
C_cattleyicola;C3;PDA;D4;R2;4.3;0.614285714
C_cattleyicola;C3;PDA;D4;R3;4.3;0.614285714
C_cattleyicola;C3;PDA;D4;R4;4.2;0.6
C_cattleyicola;C3;SNA;D1;R1;4;0.571428571
C_cattleyicola;C3;SNA;D1;R2;4;0.571428571
C_cattleyicola;C3;SNA;D1;R3;3.9;0.557142857
C_cattleyicola;C3;SNA;D1;R4;3.9;0.557142857
C_cattleyicola;C3;SNA;D2;R1;4.1;0.585714286
C_cattleyicola;C3;SNA;D2;R2;4.1;0.585714286
C_cattleyicola;C3;SNA;D2;R3;4;0.571428571
C_cattleyicola;C3;SNA;D2;R4;3.9;0.557142857
C_cattleyicola;C3;SNA;D3;R1;4.1;0.585714286
C_cattleyicola;C3;SNA;D3;R2;4.1;0.585714286
C_cattleyicola;C3;SNA;D3;R3;4;0.571428571
C_cattleyicola;C3;SNA;D3;R4;3.9;0.557142857
C_cattleyicola;C3;SNA;D4;R1;4;0.571428571
C_cattleyicola;C3;SNA;D4;R2;4;0.571428571
C_cattleyicola;C3;SNA;D4;R3;3.9;0.557142857
C_cattleyicola;C3;SNA;D4;R4;3.8;0.542857143
C_cattleyicola;C3;OA;D1;R1;4.4;0.628571429
C_cattleyicola;C3;OA;D1;R2;4.3;0.614285714
C_cattleyicola;C3;OA;D1;R3;4.3;0.614285714
C_cattleyicola;C3;OA;D1;R4;4.3;0.614285714
C_cattleyicola;C3;OA;D2;R1;4.3;0.614285714
C_cattleyicola;C3;OA;D2;R2;4.2;0.6
C_cattleyicola;C3;OA;D2;R3;4.3;0.614285714
C_cattleyicola;C3;OA;D2;R4;4.2;0.6
C_cattleyicola;C3;OA;D3;R1;4.4;0.628571429
C_cattleyicola;C3;OA;D3;R2;4.3;0.614285714
C_cattleyicola;C3;OA;D3;R3;4.3;0.614285714
C_cattleyicola;C3;OA;D3;R4;4.3;0.614285714
C_cattleyicola;C3;OA;D4;R1;4.3;0.614285714
C_cattleyicola;C3;OA;D4;R2;4.2;0.6
C_cattleyicola;C3;OA;D4;R3;4.3;0.614285714
C_cattleyicola;C3;OA;D4;R4;4.3;0.614285714
C_cattleyicola;C4;PDA;D1;R1;3.1;0.442857143
C_cattleyicola;C4;PDA;D1;R2;2.8;0.4
C_cattleyicola;C4;PDA;D1;R3;2.9;0.414285714
C_cattleyicola;C4;PDA;D1;R4;2.8;0.4
C_cattleyicola;C4;PDA;D2;R1;3.1;0.442857143
C_cattleyicola;C4;PDA;D2;R2;2.8;0.4
C_cattleyicola;C4;PDA;D2;R3;3;0.428571429
C_cattleyicola;C4;PDA;D2;R4;2.8;0.4
C_cattleyicola;C4;PDA;D3;R1;3.2;0.457142857
C_cattleyicola;C4;PDA;D3;R2;3;0.428571429
C_cattleyicola;C4;PDA;D3;R3;3;0.428571429
C_cattleyicola;C4;PDA;D3;R4;3;0.428571429
C_cattleyicola;C4;PDA;D4;R1;3.2;0.457142857
C_cattleyicola;C4;PDA;D4;R2;3;0.428571429
C_cattleyicola;C4;PDA;D4;R3;3;0.428571429
C_cattleyicola;C4;PDA;D4;R4;3;0.428571429
C_cattleyicola;C4;SNA;D1;R1;3.7;0.528571429
C_cattleyicola;C4;SNA;D1;R2;3.6;0.514285714
C_cattleyicola;C4;SNA;D1;R3;3.8;0.542857143
C_cattleyicola;C4;SNA;D1;R4;3.9;0.557142857
C_cattleyicola;C4;SNA;D2;R1;3.7;0.528571429
C_cattleyicola;C4;SNA;D2;R2;3.7;0.528571429
C_cattleyicola;C4;SNA;D2;R3;3.9;0.557142857
C_cattleyicola;C4;SNA;D2;R4;3.9;0.557142857
C_cattleyicola;C4;SNA;D3;R1;3.9;0.557142857
C_cattleyicola;C4;SNA;D3;R2;3.7;0.528571429
C_cattleyicola;C4;SNA;D3;R3;3.8;0.542857143
C_cattleyicola;C4;SNA;D3;R4;3.8;0.542857143
C_cattleyicola;C4;SNA;D4;R1;3.9;0.557142857
C_cattleyicola;C4;SNA;D4;R2;3.8;0.542857143
C_cattleyicola;C4;SNA;D4;R3;3.8;0.542857143
C_cattleyicola;C4;SNA;D4;R4;3.9;0.557142857
C_cattleyicola;C4;OA;D1;R1;3.8;0.542857143
C_cattleyicola;C4;OA;D1;R2;3.7;0.528571429
C_cattleyicola;C4;OA;D1;R3;3.8;0.542857143
C_cattleyicola;C4;OA;D1;R4;3.7;0.528571429
C_cattleyicola;C4;OA;D2;R1;3.8;0.542857143
C_cattleyicola;C4;OA;D2;R2;3.7;0.528571429
C_cattleyicola;C4;OA;D2;R3;3.8;0.542857143
C_cattleyicola;C4;OA;D2;R4;3.7;0.528571429
C_cattleyicola;C4;OA;D3;R1;3.8;0.542857143
C_cattleyicola;C4;OA;D3;R2;3.8;0.542857143
C_cattleyicola;C4;OA;D3;R3;3.8;0.542857143
C_cattleyicola;C4;OA;D3;R4;3.8;0.542857143
C_cattleyicola;C4;OA;D4;R1;3.7;0.528571429
C_cattleyicola;C4;OA;D4;R2;3.8;0.542857143
C_cattleyicola;C4;OA;D4;R3;3.7;0.528571429
C_cattleyicola;C4;OA;D4;R4;3.8;0.542857143
C_cattleyicola;C5;PDA;D1;R1;2.7;0.385714286
C_cattleyicola;C5;PDA;D1;R2;3.1;0.442857143
C_cattleyicola;C5;PDA;D1;R3;3;0.428571429
C_cattleyicola;C5;PDA;D1;R4;2.9;0.414285714
C_cattleyicola;C5;PDA;D2;R1;2.8;0.4
C_cattleyicola;C5;PDA;D2;R2;3.1;0.442857143
C_cattleyicola;C5;PDA;D2;R3;3;0.428571429
C_cattleyicola;C5;PDA;D2;R4;2.8;0.4
C_cattleyicola;C5;PDA;D3;R1;3.1;0.442857143
C_cattleyicola;C5;PDA;D3;R2;3;0.428571429
C_cattleyicola;C5;PDA;D3;R3;3.1;0.442857143
C_cattleyicola;C5;PDA;D3;R4;2.8;0.4
C_cattleyicola;C5;PDA;D4;R1;3;0.428571429
C_cattleyicola;C5;PDA;D4;R2;3.1;0.442857143
C_cattleyicola;C5;PDA;D4;R3;3.1;0.442857143
C_cattleyicola;C5;PDA;D4;R4;2.9;0.414285714
C_cattleyicola;C5;SNA;D1;R1;2.9;0.414285714
C_cattleyicola;C5;SNA;D1;R2;3;0.428571429
C_cattleyicola;C5;SNA;D1;R3;3;0.428571429
C_cattleyicola;C5;SNA;D1;R4;2.9;0.414285714
C_cattleyicola;C5;SNA;D2;R1;3.3;0.471428571
C_cattleyicola;C5;SNA;D2;R2;3;0.428571429
C_cattleyicola;C5;SNA;D2;R3;2.9;0.414285714
C_cattleyicola;C5;SNA;D2;R4;2.9;0.414285714
C_cattleyicola;C5;SNA;D3;R1;2.9;0.414285714
C_cattleyicola;C5;SNA;D3;R2;2.9;0.414285714
C_cattleyicola;C5;SNA;D3;R3;2.8;0.4
C_cattleyicola;C5;SNA;D3;R4;2.8;0.4
C_cattleyicola;C5;SNA;D4;R1;3.1;0.442857143
C_cattleyicola;C5;SNA;D4;R2;2.9;0.414285714
C_cattleyicola;C5;SNA;D4;R3;3.1;0.442857143
C_cattleyicola;C5;SNA;D4;R4;2.9;0.414285714
C_cattleyicola;C5;OA;D1;R1;3;0.428571429
C_cattleyicola;C5;OA;D1;R2;2.9;0.414285714
C_cattleyicola;C5;OA;D1;R3;3;0.428571429
C_cattleyicola;C5;OA;D1;R4;3.2;0.457142857
C_cattleyicola;C5;OA;D2;R1;3.1;0.442857143
C_cattleyicola;C5;OA;D2;R2;2.9;0.414285714
C_cattleyicola;C5;OA;D2;R3;3;0.428571429
C_cattleyicola;C5;OA;D2;R4;3;0.428571429
C_cattleyicola;C5;OA;D3;R1;3.3;0.471428571
C_cattleyicola;C5;OA;D3;R2;2.8;0.4
C_cattleyicola;C5;OA;D3;R3;3.1;0.442857143
C_cattleyicola;C5;OA;D3;R4;3;0.428571429
C_cattleyicola;C5;OA;D4;R1;3.2;0.457142857
C_cattleyicola;C5;OA;D4;R2;3;0.428571429
C_cattleyicola;C5;OA;D4;R3;3.1;0.442857143
C_cattleyicola;C5;OA;D4;R4;3.1;0.442857143
C_boninense;C7;PDA;D1;R1;2.1;0.3
C_boninense;C7;PDA;D1;R2;2.2;0.314285714
C_boninense;C7;PDA;D1;R3;2;0.285714286
C_boninense;C7;PDA;D1;R4;2.1;0.3
C_boninense;C7;PDA;D2;R1;2;0.285714286
C_boninense;C7;PDA;D2;R2;2.1;0.3
C_boninense;C7;PDA;D2;R3;2.1;0.3
C_boninense;C7;PDA;D2;R4;2.1;0.3
C_boninense;C7;PDA;D3;R1;2;0.285714286
C_boninense;C7;PDA;D3;R2;2.1;0.3
C_boninense;C7;PDA;D3;R3;2.1;0.3
C_boninense;C7;PDA;D3;R4;2.1;0.3
C_boninense;C7;PDA;D4;R1;2.1;0.3
C_boninense;C7;PDA;D4;R2;2.1;0.3
C_boninense;C7;PDA;D4;R3;2;0.285714286
C_boninense;C7;PDA;D4;R4;2;0.285714286
C_boninense;C7;SNA;D1;R1;2.9;0.414285714
C_boninense;C7;SNA;D1;R2;2.9;0.414285714
C_boninense;C7;SNA;D1;R3;2.7;0.385714286
C_boninense;C7;SNA;D1;R4;2.9;0.414285714
C_boninense;C7;SNA;D2;R1;2.9;0.414285714
C_boninense;C7;SNA;D2;R2;2.9;0.414285714
C_boninense;C7;SNA;D2;R3;2.8;0.4
C_boninense;C7;SNA;D2;R4;2.9;0.414285714
C_boninense;C7;SNA;D3;R1;2.9;0.414285714
C_boninense;C7;SNA;D3;R2;2.9;0.414285714
C_boninense;C7;SNA;D3;R3;2.9;0.414285714
C_boninense;C7;SNA;D3;R4;2.9;0.414285714
C_boninense;C7;SNA;D4;R1;2.9;0.414285714
C_boninense;C7;SNA;D4;R2;2.9;0.414285714
C_boninense;C7;SNA;D4;R3;2.9;0.414285714
C_boninense;C7;SNA;D4;R4;2.7;0.385714286
C_boninense;C7;OA;D1;R1;2.7;0.385714286
C_boninense;C7;OA;D1;R2;2.7;0.385714286
C_boninense;C7;OA;D1;R3;2.7;0.385714286
C_boninense;C7;OA;D1;R4;2.8;0.4
C_boninense;C7;OA;D2;R1;2.8;0.4
C_boninense;C7;OA;D2;R2;2.8;0.4
C_boninense;C7;OA;D2;R3;2.8;0.4
C_boninense;C7;OA;D2;R4;2.9;0.414285714
C_boninense;C7;OA;D3;R1;2.9;0.414285714
C_boninense;C7;OA;D3;R2;2.9;0.414285714
C_boninense;C7;OA;D3;R3;2.8;0.4
C_boninense;C7;OA;D3;R4;2.8;0.4
C_boninense;C7;OA;D4;R1;2.8;0.4
C_boninense;C7;OA;D4;R2;2.8;0.4
C_boninense;C7;OA;D4;R3;2.9;0.414285714
C_boninense;C7;OA;D4;R4;2.8;0.4
C_boninense;C10;PDA;D1;R1;2.9;0.414285714
C_boninense;C10;PDA;D1;R2;2.8;0.4
C_boninense;C10;PDA;D1;R3;2.8;0.4
C_boninense;C10;PDA;D1;R4;2.8;0.4
C_boninense;C10;PDA;D2;R1;2.9;0.414285714
C_boninense;C10;PDA;D2;R2;2.9;0.414285714
C_boninense;C10;PDA;D2;R3;2.8;0.4
C_boninense;C10;PDA;D2;R4;2.9;0.414285714
C_boninense;C10;PDA;D3;R1;2.9;0.414285714
C_boninense;C10;PDA;D3;R2;2.9;0.414285714
C_boninense;C10;PDA;D3;R3;2.9;0.414285714
C_boninense;C10;PDA;D3;R4;2.8;0.4
C_boninense;C10;PDA;D4;R1;2.9;0.414285714
C_boninense;C10;PDA;D4;R2;2.9;0.414285714
C_boninense;C10;PDA;D4;R3;2.8;0.4
C_boninense;C10;PDA;D4;R4;2.8;0.4
C_boninense;C10;SNA;D1;R1;2.8;0.4
C_boninense;C10;SNA;D1;R2;2.8;0.4
C_boninense;C10;SNA;D1;R3;2.7;0.385714286
C_boninense;C10;SNA;D1;R4;2.7;0.385714286
C_boninense;C10;SNA;D2;R1;2.8;0.4
C_boninense;C10;SNA;D2;R2;2.7;0.385714286
C_boninense;C10;SNA;D2;R3;2.7;0.385714286
C_boninense;C10;SNA;D2;R4;2.8;0.4
C_boninense;C10;SNA;D3;R1;2.7;0.385714286
C_boninense;C10;SNA;D3;R2;2.8;0.4
C_boninense;C10;SNA;D3;R3;2.7;0.385714286
C_boninense;C10;SNA;D3;R4;2.9;0.414285714
C_boninense;C10;SNA;D4;R1;2.8;0.4
C_boninense;C10;SNA;D4;R2;2.7;0.385714286
C_boninense;C10;SNA;D4;R3;2.8;0.4
C_boninense;C10;SNA;D4;R4;2.8;0.4
C_boninense;C10;OA;D1;R1;3.2;0.457142857
C_boninense;C10;OA;D1;R2;3.3;0.471428571
C_boninense;C10;OA;D1;R3;3.1;0.442857143
C_boninense;C10;OA;D1;R4;3.3;0.471428571
C_boninense;C10;OA;D2;R1;3.4;0.485714286
C_boninense;C10;OA;D2;R2;3.3;0.471428571
C_boninense;C10;OA;D2;R3;3.2;0.457142857
C_boninense;C10;OA;D2;R4;3.3;0.471428571
C_boninense;C10;OA;D3;R1;3.2;0.457142857
C_boninense;C10;OA;D3;R2;3.4;0.485714286
C_boninense;C10;OA;D3;R3;3.2;0.457142857
C_boninense;C10;OA;D3;R4;3.2;0.457142857
C_boninense;C10;OA;D4;R1;3.4;0.485714286
C_boninense;C10;OA;D4;R2;3.4;0.485714286
C_boninense;C10;OA;D4;R3;3.2;0.457142857
C_boninense;C10;OA;D4;R4;3.2;0.457142857
C_cattleyicola;C19;PDA;D1;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D1;R2;4.4;0.628571429
C_cattleyicola;C19;PDA;D1;R3;4.3;0.614285714
C_cattleyicola;C19;PDA;D1;R4;4.5;0.642857143
C_cattleyicola;C19;PDA;D2;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D2;R2;4.5;0.642857143
C_cattleyicola;C19;PDA;D2;R3;4.4;0.628571429
C_cattleyicola;C19;PDA;D2;R4;4.3;0.614285714
C_cattleyicola;C19;PDA;D3;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D3;R2;4.5;0.642857143
C_cattleyicola;C19;PDA;D3;R3;4.4;0.628571429
C_cattleyicola;C19;PDA;D3;R4;4.3;0.614285714
C_cattleyicola;C19;PDA;D4;R1;4.3;0.614285714
C_cattleyicola;C19;PDA;D4;R2;4.4;0.628571429
C_cattleyicola;C19;PDA;D4;R3;4.5;0.642857143
C_cattleyicola;C19;PDA;D4;R4;4.4;0.628571429
C_cattleyicola;C19;SNA;D1;R1;3.8;0.542857143
C_cattleyicola;C19;SNA;D1;R2;4;0.571428571
C_cattleyicola;C19;SNA;D1;R3;4;0.571428571
C_cattleyicola;C19;SNA;D1;R4;4.3;0.614285714
C_cattleyicola;C19;SNA;D2;R1;3.9;0.557142857
C_cattleyicola;C19;SNA;D2;R2;3.9;0.557142857
C_cattleyicola;C19;SNA;D2;R3;4;0.571428571
C_cattleyicola;C19;SNA;D2;R4;4.4;0.628571429
C_cattleyicola;C19;SNA;D3;R1;3.9;0.557142857
C_cattleyicola;C19;SNA;D3;R2;3.9;0.557142857
C_cattleyicola;C19;SNA;D3;R3;3.9;0.557142857
C_cattleyicola;C19;SNA;D3;R4;4.4;0.628571429
C_cattleyicola;C19;SNA;D4;R1;3.9;0.557142857
C_cattleyicola;C19;SNA;D4;R2;4;0.571428571
C_cattleyicola;C19;SNA;D4;R3;4;0.571428571
C_cattleyicola;C19;SNA;D4;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D1;R1;4.3;0.614285714
C_cattleyicola;C19;OA;D1;R2;4.4;0.628571429
C_cattleyicola;C19;OA;D1;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D1;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D2;R1;4.3;0.614285714
C_cattleyicola;C19;OA;D2;R2;4.4;0.628571429
C_cattleyicola;C19;OA;D2;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D2;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D3;R1;4.2;0.6
C_cattleyicola;C19;OA;D3;R2;4.5;0.642857143
C_cattleyicola;C19;OA;D3;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D3;R4;4.3;0.614285714
C_cattleyicola;C19;OA;D4;R1;4.3;0.614285714
C_cattleyicola;C19;OA;D4;R2;4.5;0.642857143
C_cattleyicola;C19;OA;D4;R3;4.3;0.614285714
C_cattleyicola;C19;OA;D4;R4;4.2;0.6